"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IOC","EQ","11-May-2018","        167.95","        168.80","        173.10","        168.45","        168.75","        169.10","        170.87","   14928136","          2550742273.80","      83196","    6501209","         43.55"
"IOC","EQ","14-May-2018","        169.10","        170.50","        173.70","        167.55","        168.75","        168.40","        169.72","   11036302","          1873112387.85","      68706","    5366802","         48.63"
"IOC","EQ","15-May-2018","        168.40","        169.00","        170.00","        165.60","        167.60","        167.20","        167.83","   14647165","          2458279216.65","      76229","    8055233","         55.00"
"IOC","EQ","16-May-2018","        167.20","        166.50","        167.05","        163.00","        166.00","        165.95","        165.24","    8435930","          1393972843.75","      56509","    4408913","         52.26"
"IOC","EQ","17-May-2018","        165.95","        166.00","        167.50","        163.65","        164.20","        164.75","        165.03","    9962469","          1644153481.90","      76972","    5874366","         58.96"
"IOC","EQ","18-May-2018","        164.75","        164.00","        166.15","        161.65","        163.75","        163.70","        163.84","   10159287","          1664524490.05","      61549","    5827360","         57.36"
"IOC","EQ","21-May-2018","        163.70","        164.00","        165.75","        162.80","        165.20","        165.15","        164.22","    6378755","          1047511568.65","      40778","    3756106","         58.88"
"IOC","EQ","22-May-2018","        165.15","        166.80","        166.95","        157.85","        159.30","        160.50","        162.29","   18878835","          3063826757.70","     100790","    7909344","         41.90"
"IOC","EQ","23-May-2018","        160.50","        159.20","        160.00","        152.65","        153.40","        153.50","        155.07","   14317531","          2220156982.10","     140044","    6014763","         42.01"
"IOC","EQ","24-May-2018","        153.50","        155.00","        156.75","        151.10","        156.40","        155.90","        154.85","   12335067","          1910040929.25","      72368","    5417719","         43.92"
"IOC","EQ","25-May-2018","        155.90","        156.60","        164.50","        156.60","        164.25","        163.45","        160.68","   16641836","          2673950828.70","     114383","    7019216","         42.18"
"IOC","EQ","28-May-2018","        163.45","        170.00","        177.00","        169.30","        170.90","        170.45","        172.36","   23786239","          4099728393.70","     132479","    8364303","         35.16"
"IOC","EQ","29-May-2018","        170.45","        171.95","        174.00","        169.35","        172.30","        172.45","        172.12","   10905026","          1877006064.15","      85640","    5324259","         48.82"
"IOC","EQ","30-May-2018","        172.45","        170.00","        171.95","        168.80","        170.70","        170.80","        170.68","    7970875","          1360468106.45","      70158","    4050297","         50.81"
"IOC","EQ","31-May-2018","        170.80","        170.00","        175.70","        169.05","        174.30","        174.10","        173.46","   32872156","          5702047692.05","     107619","   28204727","         85.80"
"IOC","EQ","01-Jun-2018","        174.10","        174.10","        175.65","        171.20","        172.00","        172.35","        172.92","    7345661","          1270220373.80","      64335","    3817504","         51.97"
"IOC","EQ","04-Jun-2018","        172.35","        173.10","        175.15","        170.50","        173.90","        173.80","        173.03","    6514084","          1127143390.10","      56286","    2936066","         45.07"
"IOC","EQ","05-Jun-2018","        173.80","        173.50","        174.35","        171.60","        174.15","        173.95","        173.26","    4952657","           858121493.60","      59441","    2857494","         57.70"
"IOC","EQ","06-Jun-2018","        173.95","        173.20","        175.40","        172.05","        174.80","        174.90","        173.71","    3655986","           635084999.30","      54601","    1738700","         47.56"
"IOC","EQ","07-Jun-2018","        174.90","        174.90","        176.45","        172.80","        174.50","        174.80","        174.50","    8518733","          1486552437.70","      66965","    4555016","         53.47"
"IOC","EQ","08-Jun-2018","        174.80","        173.50","        175.50","        172.00","        175.10","        175.00","        173.99","    5311197","           924114957.05","      46840","    2089038","         39.33"
"IOC","EQ","11-Jun-2018","        175.00","        173.75","        176.50","        172.70","        173.10","        173.10","        174.99","    9812557","          1717097680.55","      58189","    6541298","         66.66"
"IOC","EQ","12-Jun-2018","        173.10","        174.00","        175.80","        173.00","        174.55","        174.15","        174.19","    7232206","          1259774056.40","      46850","    3498197","         48.37"
"IOC","EQ","13-Jun-2018","        174.15","        174.70","        175.50","        172.90","        175.10","        175.10","        174.12","    4976427","           866504106.25","      35788","    2468159","         49.60"
"IOC","EQ","14-Jun-2018","        175.10","        175.00","        175.00","        171.00","        171.50","        171.55","        172.03","    6988054","          1202161894.25","      47620","    4195076","         60.03"
"IOC","EQ","15-Jun-2018","        171.55","        171.50","        171.65","        167.20","        167.50","        167.75","        168.50","   10962278","          1847102315.35","      65955","    7674077","         70.00"
"IOC","EQ","18-Jun-2018","        167.75","        170.50","        177.20","        170.10","        173.80","        173.90","        174.66","   14477349","          2528641001.25","     112892","    6249123","         43.16"
"IOC","EQ","19-Jun-2018","        173.90","        173.50","        173.55","        168.00","        168.60","        168.60","        168.97","    9426151","          1592749385.45","      65411","    4832883","         51.27"
"IOC","EQ","20-Jun-2018","        168.60","        168.80","        169.95","        165.00","        166.05","        165.40","        165.89","    8942761","          1483556108.20","      62057","    4929559","         55.12"
"IOC","EQ","21-Jun-2018","        165.40","        166.35","        172.40","        163.65","        172.05","        170.25","        167.29","    9990246","          1671222481.95","      70104","    4472588","         44.77"
"IOC","EQ","22-Jun-2018","        170.25","        171.00","        173.00","        168.70","        169.80","        170.00","        170.65","   13172666","          2247981067.80","      87593","    4551285","         34.55"
"IOC","EQ","25-Jun-2018","        170.00","        169.95","        170.25","        165.40","        167.30","        167.35","        166.98","    9083645","          1516813552.40","      59118","    4646108","         51.15"
"IOC","EQ","26-Jun-2018","        167.35","        166.10","        170.45","        165.35","        166.60","        166.80","        168.37","    9846198","          1657822444.80","      72676","    5608241","         56.96"
"IOC","EQ","27-Jun-2018","        166.80","        164.90","        165.00","        154.60","        155.40","        155.65","        158.36","   14124648","          2236758056.35","      97602","    6102834","         43.21"
"IOC","EQ","28-Jun-2018","        155.65","        152.40","        160.50","        150.00","        154.40","        154.35","        155.71","   16810724","          2617537783.60","     110242","    3874885","         23.05"
"IOC","EQ","29-Jun-2018","        154.35","        155.50","        158.20","        153.80","        156.00","        156.00","        155.88","    8675702","          1352355856.35","      64583","    3504565","         40.40"
"IOC","EQ","02-Jul-2018","        156.00","        156.20","        157.75","        152.20","        153.35","        153.70","        154.02","    8556183","          1317785462.50","      40963","    3728125","         43.57"
"IOC","EQ","03-Jul-2018","        153.70","        153.70","        155.80","        153.00","        155.30","        155.30","        154.77","    8148192","          1261058341.85","      44732","    3689505","         45.28"
"IOC","EQ","04-Jul-2018","        155.30","        154.95","        156.35","        154.10","        155.10","        155.25","        155.12","    5945840","           922315600.10","      29596","    2871085","         48.29"
"IOC","EQ","05-Jul-2018","        155.25","        153.65","        157.30","        153.65","        155.75","        155.00","        155.68","    8994632","          1400290385.00","      43792","    4442369","         49.39"
"IOC","EQ","06-Jul-2018","        155.00","        156.20","        159.90","        155.95","        156.50","        156.70","        157.90","    9866027","          1557867967.45","      66605","    2765282","         28.03"
"IOC","EQ","09-Jul-2018","        156.70","        156.95","        158.80","        156.55","        157.55","        157.30","        157.50","    4165195","           656014572.30","      27423","    1521856","         36.54"
"IOC","EQ","10-Jul-2018","        157.30","        157.00","        157.40","        154.75","        155.10","        155.25","        156.36","    4409292","           689447974.15","      47475","    1903201","         43.16"
"IOC","EQ","11-Jul-2018","        155.25","        156.00","        156.40","        151.20","        155.70","        154.55","        153.90","    9578663","          1474188031.10","      64935","    4351921","         45.43"
"IOC","EQ","12-Jul-2018","        154.55","        160.50","        164.00","        156.25","        156.65","        156.85","        159.70","   20040131","          3200457282.20","     105823","    4312581","         21.52"
"IOC","EQ","13-Jul-2018","        156.85","        160.00","        160.35","        155.75","        159.40","        159.10","        158.41","   13690389","          2168736609.50","      83780","    4831510","         35.29"
"IOC","EQ","16-Jul-2018","        159.10","        158.95","        160.00","        157.05","        157.65","        157.50","        158.42","    5899204","           934555336.55","      37799","    1983951","         33.63"
"IOC","EQ","17-Jul-2018","        157.50","        161.45","        165.85","        160.10","        165.20","        164.45","        163.03","   17102464","          2788148328.65","     109418","    5935212","         34.70"
"IOC","EQ","18-Jul-2018","        164.45","        165.00","        168.20","        165.00","        167.10","        167.20","        166.75","    9065714","          1511741098.85","      69305","    2863458","         31.59"
"IOC","EQ","19-Jul-2018","        167.20","        166.80","        166.80","        162.70","        166.25","        165.80","        164.93","    3935205","           649044826.65","      43159","     882548","         22.43"
"IOC","EQ","20-Jul-2018","        165.80","        164.25","        164.25","        160.50","        161.00","        161.05","        162.04","    4733720","           767057969.35","      27883","    1358748","         28.70"
"IOC","EQ","23-Jul-2018","        161.05","        162.50","        165.35","        162.05","        162.60","        162.50","        163.50","    4552151","           744291340.50","      38255","    1295006","         28.45"
"IOC","EQ","24-Jul-2018","        162.50","        163.70","        165.40","        162.00","        164.80","        164.95","        163.98","    3692596","           605497657.45","      29248","    1159884","         31.41"
"IOC","EQ","25-Jul-2018","        164.95","        163.60","        163.70","        160.15","        163.00","        163.10","        162.26","    5276840","           856194377.55","      32167","    1864067","         35.33"
"IOC","EQ","26-Jul-2018","        163.10","        162.00","        164.00","        157.60","        159.50","        158.80","        159.88","   17358562","          2775248648.60","      82547","   10794954","         62.19"
"IOC","EQ","27-Jul-2018","        158.80","        159.60","        166.20","        159.60","        165.35","        165.40","        162.70","    7780612","          1265886163.20","      43834","    2284138","         29.36"
"IOC","EQ","30-Jul-2018","        165.40","        165.40","        169.10","        164.60","        166.95","        166.45","        166.58","    7573298","          1261543661.65","      48966","    2833488","         37.41"
"IOC","EQ","31-Jul-2018","        166.45","        164.50","        166.10","        163.50","        164.40","        164.35","        164.31","    5825420","           957175874.80","      51529","    3081070","         52.89"
"IOC","EQ","01-Aug-2018","        164.35","        166.20","        169.00","        166.00","        168.20","        168.00","        167.73","   10422701","          1748244494.30","      74583","    4116876","         39.50"
"IOC","EQ","02-Aug-2018","        168.00","        170.00","        171.80","        168.05","        168.70","        168.70","        169.29","    8159282","          1381262105.00","      49308","    3703765","         45.39"
"IOC","EQ","03-Aug-2018","        168.70","        167.40","        169.80","        166.75","        168.55","        168.55","        168.56","    3642134","           613906814.05","      18233","    1607129","         44.13"
"IOC","EQ","06-Aug-2018","        168.55","        169.90","        169.90","        167.20","        168.20","        168.15","        168.23","    3279101","           551646565.70","      25491","    1527260","         46.58"
"IOC","EQ","07-Aug-2018","        168.15","        166.85","        168.75","        166.25","        166.55","        166.65","        167.10","    2534166","           423462597.20","      19993","     942958","         37.21"
"IOC","EQ","08-Aug-2018","        166.65","        166.65","        168.00","        165.40","        166.00","        165.90","        166.14","    2793529","           464120104.55","      26146","    1351759","         48.39"
